Title,Est Release Year,Operating System
007 Blood Stone,2010,Windows XP/Vista/7
007 Nightfire,2002,Windows
100 Great Educational Games Vol. 3,2000,Windows 98
100 Great Games,1998,Windows 98
100 Great Games vol. 2,2000,Windows 98 and Palm OS
102 Dalmatians:Puppies to the Rescue,2000,Windows 95/98
"15,000 Games",2007,Windows
1602 AD,1999,Window 95/98
18 Wheels of Steel Across America,2003,Windows
2 Months of AOL,2001,Windows
200 Great Games for Windows,1994,Windows 3.1
2008 World Book,2008,Mac OS X
3-D Dinosaur Adventure (Anniversary Edition),1996,Windows 95/Mac
3-D Ultra Racers,1999,Windows
3-D Ultra Traintown,2000,Windows 98/95/NT
3333 Games,2004,Windows 98SE/2000/ME/XP
3D Atlas 97,1996,Windows
3D Frog Frenzy,1999,Windows 95
3D Marble Flip,2003,Windows
3D Ultra Minigolf,2000,Windows
5 Game Super Pak,1995,Windows
8th Grade Math,???,Windows 3.1/3.11/95
911 Paramedic,2001,Windows 95/98/2000 and Mac OS 8.1
A Bug’s Life: Action Game,1998,Windows 95
ABC’s Featuring the Jungle Jukebox,1995,Windows 3.1
Aces of the Deep,1994,DOS
Aces of the Pacific,1992,DOS
Act of War Direct Action,2005,Windows 2000/XP
Activity Fun with Cinderella & Friends,No Specified Year,Windows 98/ME/XP
Adobe Photoshop CS2,2005,Windows
Adsubtract,2002,Windows
Adventure Workshop 1st-3rd Grade,2002,Windows and Macintosh
Adventures in Odyssey,2005,Windows XP/ME/2000/98
Adventures of TinTin: The Game,2011,Windows XP/Vista/7
AFL 98,1997,Windows 95
Age of Conan Hyborian Adventures Collector’s Edition,2008,Windows
Age of Conan: Hyborian Adventures,2008,Windows XP
Age of Empires,2001,Windows 95/98/ME/2000
Age of Empires,1997,Windows NT/95
Age of Empires 2 Gold Edition for Macintosh,2001,Mac
Age of Empires 2 The Age of Kings,1999,Windows
Age of Empires 2 The Conquerors Expansion,2000,Windows/NT/95
Age of Empires III,2005,Windows XP
Age of Empires: Collector’s Edition,2006,Windows 98/ME/XP/2000
Age of Empires: Gold Edition,2007,Windows XP
Age of Mythology,2007,Windows 98/2000/ME/XP
Age of Mythology: Gold Edition,2004,Windows 98/2000/ME/XP
Age of Sail II Privateer’s Bounty,2003,Windows 98/ME/2000/XP
Age of Sail II: Privateer’s Bounty,2002,Windows 98/Me/2000/XP
Age of Wonders Three Game Value Bundle,2019,Windows
Ageod’s American Civil War,2007,Windows 2000/XP/Vista
Ages of Myst: Commemorative Edition,1997,Windows 3.1/95 & Mac
Air Commanders,1995,Windows 3.1
Airline Tycoon 2 Gold Edition,2013,Windows XP/Vista/7
Aliens versus Predator,1999?,Windows
Aliens versus Predator,1986,Windows 95/98
Aliens versus Predator,1999,Windows 95/98
Aliens versus Predator,1999,Windows 95/98
Aliens versus Predator 2,2001,Windows
Aliens versus Predator 2 Primal Hunt,2002,Windows 98/ME/2000/XP
Aliens versus Predator Gold Edition,2000,Windows 95/98
Aliens vs Predator,2010,Windows XP/Vista/7
Alienware Recovery CD-ROM,2000,Windows
All Points Bulletin,2010,Windows 7/Vista/XP
Allied General,1995,Windows 95
Alone in the Dark 2,1993,DOS
Alone in the Dark: The New Nightmare,2001,Windows 95/98/98SE/2000
Alpha Prime,2007,Windows Vista/XP/2000
Alphabet Blocks,1993,Windows 3.1
Alphabet Number 1-100,2000,Windows 95/98 & Mac
AMA Superbike,1999,Windows 95/98/ME
Amazing Adventures the Caribbean Secret,2009,Windows 2000/XP/Vista/7
Amazing Learning Games with Rayman,1996,DOS 6.0 and Windows 95
America Online’s Interactive Guide to the Internet,2000,Windows 95/98/ME/NT/2000
American Greetings CreataCard,1999,Windows 95/98
American Greetings CreataCard Gold,1997,Windows 95
American Heroes Collection,2001,Windows
American Mcgee: Bad Day LA: Are You Prepared?,2006,Windows 2000/XP
American McGee’s Alice,2000,Windows
American Revolution: 2007 Avalanche,2007,Windows
Anachronox,2001,Windows
Anarchy Online,2001,Windows 95/98/ME/2000
Anarchy Online the Noctum Wars,2002,Windows 98/ME/2000/XP
Anarchy Online: Alien Invation,2004,Windows 98/ME/2000/XP
Ancient Secrets Quest for the Golden Key,2009,Windows XP
Animated Email,1999,Windows 3.1/95/98
Animated Story Book: Pocahontas,1995,Windows 95/98 and Mac
Anime Studio Debut 7,2010,Windows XP/Vista/7
Animorphs Know the Secret,2000,Windows 95/98
Anne McCaffrey’s Freedom First Resistance,2000,Windows 95/98
Aoi Nanase Vol.1,90’s?,Windows/Mac
AOL 9.0 Optimized,2008,Windows
Apache,1995,Windows 95
Aqua Nox,2001,Windows
Aquazone: Virtual Aquarium,2005,Windows 98/ME/2000/XP
Arcade America,1995,Windows 3.1/95
Arcanum,2001,Windows
Ariel’s Story Studio,1997,Windows 3.1/95 and Mac
Arma Combat Operations,2007,Windows 2000/XP
Armada 2525,1991,IBM PC
Armies of Exigo,2004,Windows
Armored Fist 3,1999,Windows 95/98/NT
Army Men 2,1999,Windows
Arnie Savage Combat Commando,1994,DOS 3.3
Arthur’s Computer Adventure,1997,Windows/Mac
Arthur’s Sand Castle Contest,2003,Windows and Mac
Artist Colony,2009,Windows XP/Vista/7
Arx Fatalis,2002,Windows XP/ME/2000/98
Assassin’s Creed,2008,Windows XP/Vista/7
Assassin’s Creed 2,2010,Windows XP/Vist/7
Assassin’s Creed 4 Black Flag,2013,Windows Vista/7/8
Assassin’s Creed Revelations,2011,Windows XP/Vista/7
Assassin’s Creed Syndicate Gold Edition,2015,Windows 7/8.1/10
Assassins Creed IV: Black Flag,2013,Windows Vista/7/8
Asteroids,1998,Windows 95/98
Astro Avenger II,2012,Windows XP/Vista/7
Atari Arcade Collection,2006,Windows 98/ME/2000/XP
Atari Arcade Hits 1,1999,Windows 95/98
Atari Arcade Hits 1,1999,Windows 95/98
Atlantis 2 Pack,2002,Windows 95/98/ME/2000
Atlantis The Lost Tales,1997,Windows 95
Atomic Bomberman,1997,Windows 95
ATV Rally,2003,Windows 95/98 & Mac
ATV Rally,2000,Windows
Austin Powers Operation: Trivia,1999,Windows 95/98
Austin Powers Pinball,2003,Windows 98/ME/XP
Auto Assault,2006,Windows 2000/XP
Avatar The Game,2009,Windows XP/Vista/7
Avatar the Last Airbender,2006,Windows 98/ME/2000/XP
Avencast: Rise of the Magic,2010,Windows XP/Vista/7
Avery Cardoza’s Slam-Tilt Pinball,2000,Windows 95/NT4/98/2000
AVG: Internet Security,2009,Windows 2000/XP/Vista/7
Axis & Allies,1998,Windows 95/98
Azrael’s Tear,1996,Windows 95
B-17 Flying Fortress,2002,Window 95/98/ME
B-17 Gunner Air War Over Germany,2001,Windows
Backyard Baseball,1997,Windows 95/3.1/Mac 7.0
Backyard Baseball 2001,2000,Windows 95/98
Backyard Baseball 2003,2002,Windows 98/ME/XP
Backyard Baseball and Backyard Soccer,1999,Windows 3.1/95/98/ME/2000 Mac 7.5.3
Backyard Basketball,2001,Windows 95/98/ME/2000 and Mac PowerPC
Backyard Football,1999,Windows/Mac
Backyard Football 2002,2001,Windows 95/98/ME/2000
Backyard Hockey,2002,Windows 98/ME/2000/XP
Backyard Hockey,2002,Windows 98/ME/2000/XP
Backyard Skateboarding,2004,Windows 98/ME/2000/XP
Backyard Soccer,1998,Windows 95/98/3.1/Mac 7.1
Bad Boys II,2005,Windows 98/ME/XP/2000
Bad Mojo: The Roach Game,2004,Windows 98/2000/XP
Baldur’s Gate,1998,Windows
Baldur’s Gate,1998,Windows
Baldur’s Gate II Shadows of Amn,2000,Windows
Baldur’s Gate II: Throne of Bhaal,2001,Windows
Balur’s Gate 2,2001,Windows 95/XP/Vista
Barrage,1998,Windows 95/98
Basic Quicken 2000,1999,Window 95/98/NT4
Basics of Keyboard Theory Computer Activities,2000,Windows 3.1/95/98
Batman Toxic Chill,2003,Windows/Mac
Batman: Arkham Knight,2015,Windows 7/8.1
Batman: The Videogame,2008,Windows Vista
Battle Arean Toshinden 2,1996,Windows
Battle Bugs,1994,DOS 5.0
Battle Chess Enhanced CD Rom,1992,DOS & Mac
Battle Cruiser 3000 AD: V2.0,1998,Windows 95/98
Battlechess Collection,1994,DOS
Battlefield 1942,2009,Windows Vista/XP/2000/98SE
Battlefield 1942,2002,Windows 98/2000/ME/XP
Battlefield 1942 Deluxe Edition,2003,Windows
Battlefield 1942 Road to Rome,2002,Windows 98/Me/2000/XP
Battlefield 1942: Secreat Weapons of WWII,2003,Windows
Battlefield 1942: The Road to Rome (Expansion),2002,Windows
Battlefield 2,2005,Windows XP
Battlefield 2 Complete Collection,2007,Windows
Battlefield 2 Deluxe Edition,2006,Windows
Battlefield 2 Special Forces (Expansion Pack),2005,Windows
Battlefield 2142,2006,Windows
Battlefield 3,2011,Windows Vista
Battlefield 4,2013,Windows Vista SP2
Battlefield Bad Company 2,2010,Windows 7/Vista/XP
Battlefield Vietnam,2004,Windows XP
Battlefield: Bad Company 2,2010,Windows 7/Vista/XP
Battleship,1997,Windows 95
Battleship & Risk,2012,Windows CP SP3/VIsta/7
Battleship: Classic Naval Warfare Game,1997,Windows 95
Battleship: Surface Thunder,2000,Windows 95/98
Bazooka Cafe,2007,Windows 98/ME/2000/XP/Vista
Beach Head 2002,2001,Windows 95/98/ME
Beavis and Butt-Head in Vitural Stupidity,1995,Windows 95
Bejeweled Twist,2008,Windows XP/Vista
Beneath A Steel Sky,1994,DOS 3.3
Betrayal in Antara,1996,Windows
Beyond Atlantis II: New Worlds Await You…,2001,Windows 98/ME/XP
Beyond Time,1999,Windows 98/95
Bible Touchdown,1999,Windows 95
Big Action Construction,1998,Windows 3.1/95/98 and Mac
Big Biz Tycoon,2002,Windows 98/ME/2000/XP
Big Fish- Trial Games,2008,Windows Vista/2000/XP
Big Metal Box 2,2005,Mac OS 10.2.3
Bioforge,1995,Windows
Bioscopia,2001,Windows 98/ME/NT/2000/XP and Mac OS 8.1
Bioshock,2007,Windows XP/Vista
Bioshock 2,2010,Windows 7/Vista/XP
Bioshock Infinite,2013,Windows Vista SP2
Bird Hunter 2003,2002,Windows
Bird Hunter Wild Wings Edition,2000,Windows 95/98
Bird Watcher The Interactive Birding Game,1999,Windows 95/98
Black & White 2,2005,Windows
Black & White: Creature Isle,2001,Windows XP/ME/2000/98/95
Black Hawk Down: Platinum Pack,2004,Windows 98/ME/2000/XP
Black Mirror Complete Edition,2016,Windows XP/Vista/7/8
Blazing Angels: Squadrons of WWII,2006,Windows XP
Blitzkrieg,2003,Windows
Blitzkrieg II and Liberation,2010,Windows 2000/ME/Vista
Blood of the Sacred Gabriel Knight 3 Blood of the Damned,1999,Windows
Blood Ties,2008,Windows XP/Vista
Blue’s ABC Time Activities,1998,Windows 95/98/Mac
Blueprint,1983,Commodore 64
Board Games,1994,DOS and Windows 3.1
Bob the Builder: Can We Fix It?,2001,Windows 95/98
Bob’s Castle Adventure,2003,Windows
Body Land,1995,Windows 3.1
Body Language: Cardiovascular and Nervous System,1986,Apple II
